primaryTitle,startYear,genres,averageRating,numVotes
Malar Pirates,1923,Comedy,6.3,82
The Nortull Gang,1923,Comedy,6.5,179
The Village Shoemakers,1923,"Comedy,Drama",5.9,95
One Arabian Night,1923,Comedy,3.8,10
Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,12740
Paddy the Next Best Thing,1923,"Comedy,Romance",5.0,12
Penrod and Sam,1923,"Comedy,Drama",6.9,77
The Pilgrim,1923,"Comedy,Western",7.2,5803
Rosita,1923,"Comedy,Romance",6.5,486
Ruggles of Red Gap,1923,"Comedy,Western",5.8,39
Safety Last!,1923,"Action,Comedy,Thriller",8.1,23447
The School for Scandal,1923,Comedy,6.5,22
The Shriek of Araby,1923,Comedy,5.6,51
Souls for Sale,1923,"Comedy,Drama,Romance",7.0,1141
Stephen Steps Out,1923,Comedy,7.3,22
Strangers of the Night,1923,"Comedy,Mystery",5.0,13
Suzanna,1923,Comedy,6.3,49
Three Ages,1923,Comedy,7.0,5336
Three Wise Fools,1923,"Comedy,Drama",5.7,38
The Thrill Chaser,1923,"Action,Adventure,Comedy",5.5,26
To the Ladies,1923,Comedy,3.9,18
Why Worry?,1923,"Adventure,Comedy,Family",7.3,2108
Woman-Proof,1923,Comedy,4.6,14
"Aelita, the Queen of Mars",1924,"Adventure,Comedy,Drama",6.4,2964
The Battling Orioles,1924,Comedy,6.4,44
College Boarding House,1925,Comedy,6.9,11
Changing Husbands,1924,Comedy,7.5,22
Conductor 1492,1924,Comedy,6.4,74
Daddies,1924,Comedy,5.9,30
The Fast Set,1924,"Comedy,Drama",6.0,15
The Fighting Coward,1924,Comedy,6.0,64
Finances of the Grand Duke,1924,Comedy,6.2,1009
Forbidden Paradise,1924,Comedy,6.1,230
Girl Shy,1924,"Comedy,Romance",7.7,3750
The Girl in the Limousine,1924,Comedy,6.0,20
Happiness,1924,Comedy,6.9,37
Helen's Babies,1924,Comedy,6.4,142
Her Night of Romance,1924,"Comedy,Romance",6.8,308
A Hero for a Night,1927,Comedy,6.4,24
His Darker Self,1924,Comedy,6.4,25
Hold Your Breath,1924,Comedy,7.0,25
Hot Water,1924,Comedy,7.1,1621
Husbands and Lovers,1924,Comedy,6.0,18
The Last Man on Earth,1924,"Comedy,Fantasy,Sci-Fi",6.2,98
Laughing at Danger,1924,"Action,Comedy,Drama",6.3,50
Little Robinson Crusoe,1924,Comedy,6.8,21
Mademoiselle Midnight,1924,"Comedy,Drama",6.1,59
Manhandled,1924,"Comedy,Drama",6.7,1165
Manhattan,1924,"Adventure,Comedy,Romance",7.1,44
The Marriage Circle,1924,Comedy,7.0,1552
Merton of the Movies,1924,Comedy,4.5,14
The Navigator,1924,"Action,Adventure,Comedy",7.5,11308
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,1924,"Comedy,Fantasy,Romance",6.4,1141
The New School Teacher,1924,Comedy,5.8,32
Ole Opfinders offer,1924,Comedy,6.2,13
On Time,1924,"Action,Adventure,Comedy",5.6,23
Open All Night,1924,Comedy,5.6,135
Painted People,1924,"Comedy,Drama",6.7,21
The Cigarette Girl of Mosselprom,1924,"Comedy,Romance",6.6,207
Pied Piper Malone,1924,"Comedy,Drama",5.9,34
"Pierrot, Pierrette",1924,"Comedy,Drama",6.9,46
En piga bland pigor,1924,"Comedy,Drama",5.8,10
Polyteekkarifilmi,1924,Comedy,4.8,14
The Reckless Age,1924,"Comedy,Drama,Romance",6.2,71
Second Youth,1924,"Comedy,Romance",5.7,17
Secrets of the Night,1924,"Comedy,Drama,Mystery",6.0,48
Sherlock Jr.,1924,"Action,Comedy,Romance",8.2,58985
The Speed Spook,1924,Comedy,5.2,30
The Tomboy,1924,"Comedy,Drama",5.6,20
Twenty Dollars a Week,1924,"Comedy,Drama",6.2,29
The Young Nobleman,1924,"Adventure,Comedy",2.8,14
Violettes impériales,1924,"Adventure,Comedy",4.4,27
Wine of Youth,1924,"Comedy,Drama",6.3,421
King of the Circus,1924,Comedy,6.5,54
American Pluck,1925,"Action,Comedy,Romance",6.0,40
Are Parents People?,1925,Comedy,6.6,81
The Awful Truth,1925,Comedy,5.5,24
Battling Bunyan,1924,Comedy,7.0,14
Beggar on Horseback,1925,Comedy,5.9,99
The Best Bad Man,1925,"Comedy,Western",6.9,27
Bobbed Hair,1925,Comedy,6.7,90
California Straight Ahead,1925,"Action,Adventure,Comedy",6.6,34
Los chicos de la escuela,1925,Comedy,5.7,7
The Circle,1925,"Comedy,Drama",6.4,726
Classified,1925,"Comedy,Romance",6.7,23
The Crackerjack,1925,Comedy,6.2,38
Cyclone Cavalier,1925,Comedy,4.6,22
The Dressmaker from Paris,1925,"Comedy,Drama,Romance",6.6,27
The Drug Store Cowboy,1925,"Action,Comedy,Romance",6.3,47
Master of the House,1925,"Comedy,Drama",7.0,2437
The Eagle,1925,"Action,Adventure,Comedy",6.6,2333
The Early Bird,1925,Comedy,5.8,15
Eve's Secret,1925,"Comedy,Drama,Romance",6.8,15
Exchange of Wives,1925,Comedy,6.0,11
The Late Mathias Pascal,1925,"Comedy,Drama,Romance",7.0,453
Flor de espino,1925,Comedy,5.8,7
The Freshman,1925,"Comedy,Family,Romance",7.5,6191
Gigantes y cabezudos,1926,Comedy,5.6,22
Go West,1925,"Comedy,Western",7.1,5134
The Gold Rush,1925,"Adventure,Comedy,Drama",8.1,120707
Her Little Majesty,1925,"Comedy,Drama",6.0,11
Her Sister from Paris,1925,Comedy,6.9,201
His Secretary,1925,Comedy,5.9,19
I'll Show You the Town,1925,Comedy,7.9,22
Irish Luck,1925,"Adventure,Comedy,Drama",1.7,41
Jewish Luck,1925,"Comedy,Romance",6.0,172
Kentucky Pride,1925,"Comedy,Drama,Romance",6.1,229
The King on Main Street,1925,"Comedy,Romance",6.7,61
Kiss Me Again,1925,Comedy,6.2,95
